wiktionary-cldr-merge	ton	http://wiktionary.org/	CC BY-SA
08730354-n	ton:lemma	Taiuani	
09034550-n	ton:lemma	Tenisania	
09014979-n	ton:lemma	ʻIukuleini	
09043052-n	ton:lemma	ʻIukanitā	
09160295-n	ton:lemma	ʻUlukuei	
09022265-n	ton:lemma	ʻUsipekitēni	
09161452-n	ton:lemma	Vatikani	
08989031-n	ton:lemma	Seini	
09161803-n	ton:lemma	Venisuela	
08754814-n	ton:lemma	ʻOtumotu	
08755003-n	ton:lemma	ʻOtumotu	
09163192-n	ton:lemma	Vietinemi	
09160775-n	ton:lemma	Vanuatu	
09164561-n	ton:lemma	Iemeni	
08999482-n	ton:lemma	ʻAfilika	
09165613-n	ton:lemma	Semipia	
09167101-n	ton:lemma	Simipapuei	
08632096-n	ton:lemma	Potu	
15210045-n	ton:lemma	Sān	
15210486-n	ton:lemma	Fēp	
15210870-n	ton:lemma	Maʻa	
15211189-n	ton:lemma	ʻEpe	
15211484-n	ton:lemma	Mē	
15211806-n	ton:lemma	Sun	
15212167-n	ton:lemma	Siu	
15212455-n	ton:lemma	ʻAok	
15212739-n	ton:lemma	Sep	
15213115-n	ton:lemma	ʻOka	
15213406-n	ton:lemma	Nōv	
15213774-n	ton:lemma	Tīs	
15210045-n	ton:lemma	Sānuali	
15210486-n	ton:lemma	Fēpueli	
15210870-n	ton:lemma	Maʻasi	
15211189-n	ton:lemma	ʻEpeleli	
15211484-n	ton:lemma	Mē	
15211806-n	ton:lemma	Sune	
15212167-n	ton:lemma	Siulai	
15212455-n	ton:lemma	ʻAokosi	
15212739-n	ton:lemma	Sepitema	
15213115-n	ton:lemma	ʻOkatopa	
15213406-n	ton:lemma	Nōvema	
15213774-n	ton:lemma	Tīsema	
15212739-n	ton:lemma	Sēp	
15212739-n	ton:lemma	Sēpitema	
15163797-n	ton:lemma	Sāp	
15163979-n	ton:lemma	Mōn	
15164105-n	ton:lemma	Tūs	
15164233-n	ton:lemma	Pul	
15164354-n	ton:lemma	Tuʻa	
15164463-n	ton:lemma	Fal	
15164570-n	ton:lemma	Tok	
15163797-n	ton:lemma	Sāpate	
15163979-n	ton:lemma	Mōnite	
15164105-n	ton:lemma	Tūsite	
15164354-n	ton:lemma	Tuʻapulelulu	
00130518-s	ton:lemma	AM	
00130701-s	ton:lemma	PM	
