wiktionary-cldr-merge	spa	http://wiktionary.org/	CC BY-SA
00278551-a	spa:lemma	claro	
00278551-a	spa:lemma	brillante	
00278551-a	spa:lemma	resplandeciente	
00278551-a	spa:lemma	luminoso	
00278551-a	spa:lemma	lucio	
00279332-a	spa:lemma	luminoso	
00280463-a	spa:lemma	radiante	
00281657-a	spa:lemma	brillante	
00281657-a	spa:lemma	lustroso	
00281657-a	spa:lemma	reluciente	
00282675-a	spa:lemma	liso	
00283327-a	spa:lemma	plateado	
00283327-a	spa:lemma	argentino	
00283972-a	spa:lemma	mate	
00285905-a	spa:lemma	racista	
00286063-a	spa:lemma	sexista	
00288498-a	spa:lemma	mezquino	
00291471-a	spa:lemma	fraternal	
00292937-a	spa:lemma	ocupado	
00294579-a	spa:lemma	indolente	
00294579-a	spa:lemma	perezoso	
00294579-a	spa:lemma	flojo	
00294579-a	spa:lemma	locho	
00294579-a	spa:lemma	haragán	
00298041-a	spa:lemma	socialista	
00299690-a	spa:lemma	ronco	
00299690-a	spa:lemma	afónico	
00300359-a	spa:lemma	estridente	
00301589-a	spa:lemma	contable	
00302951-a	spa:lemma	tranquilo	
00302951-a	spa:lemma	detenido	
00302951-a	spa:lemma	quieto	
00302951-a	spa:lemma	calmo	
00303727-a	spa:lemma	borrascoso	
00303727-a	spa:lemma	tempestuoso	
00304144-a	spa:lemma	furioso	
00305225-a	spa:lemma	ventoso	
00310943-a	spa:lemma	prolijo	
00313387-a	spa:lemma	carnívoro	
00314023-a	spa:lemma	herbívoro	
00315109-a	spa:lemma	omnívoro	
00316046-a	spa:lemma	carpelar	
00319851-a	spa:lemma	rabón	
00320064-a	spa:lemma	que	
00320064-a	spa:lemma	tiene	
00320064-a	spa:lemma	cola	
00323199-a	spa:lemma	causal	
00325281-a	spa:lemma	cauto	
00327031-a	spa:lemma	celular	
00328017-a	spa:lemma	multicelular	
00328017-a	spa:lemma	pluricelular	
00329831-a	spa:lemma	central	
00331030-a	spa:lemma	mediano	
00331446-a	spa:lemma	periférico	
00333611-a	spa:lemma	centrípeto	
00336168-a	spa:lemma	incierto	
00336831-a	spa:lemma	cierto	
00339742-a	spa:lemma	seguro	
00339742-a	spa:lemma	de	
00339742-a	spa:lemma	si	
00339742-a	spa:lemma	mismo	
00339742-a	spa:lemma	seguro	
00339742-a	spa:lemma	de	
00339742-a	spa:lemma	sí	
00339742-a	spa:lemma	mismo	
00339742-a	spa:lemma	seguro	
00339941-a	spa:lemma	difidente	
00339941-a	spa:lemma	tímido	
00340239-a	spa:lemma	seguro	
00341405-a	spa:lemma	incierto	
00343015-a	spa:lemma	inevitable	
00343360-a	spa:lemma	inevitable	
00343700-a	spa:lemma	evitable	
00344686-a	spa:lemma	ajustable	
00344686-a	spa:lemma	regulable	
00344686-a	spa:lemma	graduable	
00349894-a	spa:lemma	final	
00349894-a	spa:lemma	último	
00353206-a	spa:lemma	inalterado	
00356926-a	spa:lemma	característico	
00357254-a	spa:lemma	sintomático	
00358392-a	spa:lemma	vivo	
00358392-a	spa:lemma	cargado	
00358392-a	spa:lemma	cable	
00361125-a	spa:lemma	virgen	
00361125-a	spa:lemma	virginal	
00361125-a	spa:lemma	casto	
00361125-a	spa:lemma	casta	
00363291-a	spa:lemma	alegre	
00363291-a	spa:lemma	feliz	
00366025-a	spa:lemma	monoclínico	
00366691-a	spa:lemma	cromático	
00369941-a	spa:lemma	dorado	
00370267-a	spa:lemma	cielo	
00370267-a	spa:lemma	azul	
00370267-a	spa:lemma	cerúleo	
00370869-a	spa:lemma	azul	
00370869-a	spa:lemma	celeste	
00370869-a	spa:lemma	azulado	
00371163-a	spa:lemma	cian	
00371163-a	spa:lemma	azul	
00371163-a	spa:lemma	petróleo	
00372111-a	spa:lemma	marrón	
00372111-a	spa:lemma	café	
00372111-a	spa:lemma	pardo	
00373209-a	spa:lemma	castaño	
00373209-a	spa:lemma	marrón	
00374818-a	spa:lemma	pardo	
00375969-a	spa:lemma	verde	
00375969-a	spa:lemma	verdoso	
00378892-a	spa:lemma	anaranjado	
00378892-a	spa:lemma	naranja	
00379595-a	spa:lemma	rosado	
00379595-a	spa:lemma	rosadizo	
00379595-a	spa:lemma	arosado	
00380312-a	spa:lemma	morado	
00381097-a	spa:lemma	rojizo	
00381097-a	spa:lemma	rubescente	
00382874-a	spa:lemma	herrumbroso	
00384195-a	spa:lemma	piedra	
00384195-a	spa:lemma	pétreo	
00384292-a	spa:lemma	pajizo	
00384292-a	spa:lemma	pajiza	
00384694-a	spa:lemma	anaranjado	
00385188-a	spa:lemma	bermejo	
00385756-a	spa:lemma	amarillo	
00385756-a	spa:lemma	ocre	
00387699-a	spa:lemma	negruzco	
00388849-a	spa:lemma	azabache	
00389310-a	spa:lemma	gris	
00389310-a	spa:lemma	grisáceo	
00391487-a	spa:lemma	sable	
00392093-a	spa:lemma	blanconieve	
00392460-a	spa:lemma	blancuzco	
00392460-a	spa:lemma	blanquecino	
00392460-a	spa:lemma	blanquinoso	
00392812-a	spa:lemma	negro	
00393105-a	spa:lemma	blanco	
00393852-a	spa:lemma	insaturado	
00393852-a	spa:lemma	saturado	
00395626-a	spa:lemma	rojo	
00395626-a	spa:lemma	colorado	
00395626-a	spa:lemma	rubicundo	
00395626-a	spa:lemma	rubro	
00395626-a	spa:lemma	rufo	
00395626-a	spa:lemma	rúbeo	
00398816-a	spa:lemma	monocromo	
00398816-a	spa:lemma	monocromático	
00400193-a	spa:lemma	policromo	
00400193-a	spa:lemma	polícromo	
00401125-a	spa:lemma	tricolor	
00402419-a	spa:lemma	lleno	
00402419-a	spa:lemma	de	
00402419-a	spa:lemma	color	
00402855-a	spa:lemma	vivo	
00402855-a	spa:lemma	brillante	
00405879-a	spa:lemma	pálido	
00407420-a	spa:lemma	ostentoso	
00407420-a	spa:lemma	jactancioso	
00407420-a	spa:lemma	llamativo	
00407420-a	spa:lemma	vistoso	
00407420-a	spa:lemma	sobrecargado	
00407420-a	spa:lemma	vulgar	
00407420-a	spa:lemma	feúcho	
00407420-a	spa:lemma	chillón	
00407420-a	spa:lemma	hortera	
00408445-a	spa:lemma	pálido	
00409440-a	spa:lemma	oscuro	
00410449-a	spa:lemma	transmontano	
00412788-a	spa:lemma	bárbaro	
00412788-a	spa:lemma	salvaje	
00412788-a	spa:lemma	barbárico	
00413622-a	spa:lemma	clásico	
00413861-a	spa:lemma	grecorromano	
00417413-a	spa:lemma	limpio	
00419289-a	spa:lemma	sucio	
00421590-a	spa:lemma	sucio	
00421590-a	spa:lemma	obsceno	
00421590-a	spa:lemma	guarro	
00421590-a	spa:lemma	pelado	
00422374-a	spa:lemma	piojoso	
00422620-a	spa:lemma	turbio	
00422620-a	spa:lemma	fangoso	
00422620-a	spa:lemma	barroso	
00424370-a	spa:lemma	descolorido	
00424370-a	spa:lemma	sucio	
00424370-a	spa:lemma	turbio	
00425740-a	spa:lemma	obsceno	
00426907-a	spa:lemma	radiactivo	
00427786-a	spa:lemma	impuro	
00429355-a	spa:lemma	lúcido	
00429355-a	spa:lemma	límpido	
00431004-a	spa:lemma	vago	
00431004-a	spa:lemma	impreciso	
00431774-a	spa:lemma	transparente	
00431774-a	spa:lemma	lucido	
00431774-a	spa:lemma	brillante	
00431774-a	spa:lemma	cristalino	
00431774-a	spa:lemma	diáfano	
00432626-a	spa:lemma	translúcido	
00432626-a	spa:lemma	translúcida	
00432626-a	spa:lemma	semitransparente	
00433115-a	spa:lemma	opaco	
00433529-a	spa:lemma	turbio	
00434384-a	spa:lemma	lechoso	
00438567-a	spa:lemma	inclemente	
00438707-a	spa:lemma	listo	
00438707-a	spa:lemma	intelectual	
00438909-a	spa:lemma	astuto	
00438909-a	spa:lemma	sagaz	
00438909-a	spa:lemma	perspicaz	
00439588-a	spa:lemma	estúpido	
00439588-a	spa:lemma	menso	
00439588-a	spa:lemma	gilí	
00439588-a	spa:lemma	pendejo	
00440579-a	spa:lemma	obtuso	
00440579-a	spa:lemma	corto	
00440579-a	spa:lemma	limitado	
00440579-a	spa:lemma	estúpido	
00440579-a	spa:lemma	tonto	
00442361-a	spa:lemma	lejano	
00442917-a	spa:lemma	distante	
00442917-a	spa:lemma	a	
00442917-a	spa:lemma	distancia	
00442917-a	spa:lemma	huraño	
00443075-a	spa:lemma	remoto	
00444519-a	spa:lemma	cercano	
00444519-a	spa:lemma	cerca	
00445169-a	spa:lemma	cercano	
00445169-a	spa:lemma	cercana	
00445169-a	spa:lemma	próximo	
00447472-a	spa:lemma	adyacente	
00447472-a	spa:lemma	colindante	
00447472-a	spa:lemma	contiguo	
00457998-a	spa:lemma	desnudo	
00460735-a	spa:lemma	claro	
00460735-a	spa:lemma	nítido	
00460735-a	spa:lemma	obvio	
00460735-a	spa:lemma	definido	
00461311-a	spa:lemma	nublado	
00463308-a	spa:lemma	acostado	
00463308-a	spa:lemma	alitoralado	
00464513-a	spa:lemma	coherente	
00464962-a	spa:lemma	incoherente	
00465221-a	spa:lemma	confuso	
00465585-a	spa:lemma	impreciso	
00465737-a	spa:lemma	plegable	
00466808-a	spa:lemma	colectivo	
00467240-a	spa:lemma	total	
00467240-a	spa:lemma	conjunto	
00468795-a	spa:lemma	penetrante	
00468795-a	spa:lemma	determinante	
00468795-a	spa:lemma	dominante	
00471072-a	spa:lemma	inédito	
00472992-a	spa:lemma	combustible	
00473658-a	spa:lemma	inflamable	
00473658-a	spa:lemma	combustible	
00474043-a	spa:lemma	incombustible	
00474227-a	spa:lemma	ignífugo	
00475125-a	spa:lemma	alumbrado	
00475125-a	spa:lemma	iluminado	
00475125-a	spa:lemma	aluzado	
00476249-a	spa:lemma	espacioso	
00476819-a	spa:lemma	confortable	
00477284-a	spa:lemma	acogedor	
00477284-a	spa:lemma	cómodo	
00477284-a	spa:lemma	confortable	
00477284-a	spa:lemma	hogareño	
00478015-a	spa:lemma	incómodo	
00482059-a	spa:lemma	desproporcionado	
00482452-a	spa:lemma	por	
00482452-a	spa:lemma	cabeza	
00482948-a	spa:lemma	proporcional	
00483048-a	spa:lemma	desproporcionado	
00483650-a	spa:lemma	mercantil	
00485711-a	spa:lemma	común	
00486990-a	spa:lemma	frecuente	
00489108-a	spa:lemma	usual	
00489768-a	spa:lemma	crónico	
00491749-a	spa:lemma	hidrófobo	
00494409-a	spa:lemma	respectivo	
00494622-a	spa:lemma	singular	
00497148-a	spa:lemma	expresivo	
00498912-a	spa:lemma	narrativo	
00499530-a	spa:lemma	franco	
00499530-a	spa:lemma	opinado	
00499530-a	spa:lemma	abierto	
00499530-a	spa:lemma	audaz	
00499530-a	spa:lemma	valiente	
00502180-a	spa:lemma	compacto	
00503982-a	spa:lemma	comparable	
