wiktionary-cldr-merge	mal	http://wiktionary.org/	CC BY-SA
04956594-n	mal:lemma	വര്‍ണ്ണരാജി	
04960277-n	mal:lemma	കറുപ്പ്	
04960729-n	mal:lemma	വെളുപ്പ്	
04962784-n	mal:lemma	ചുവപ്പ്	
04965661-n	mal:lemma	മഞ്ഞ	
04967191-n	mal:lemma	പച്ച	
04968895-n	mal:lemma	നീല	
04971928-n	mal:lemma	തവിട്ട്	
04980008-n	mal:lemma	മണം	
04980008-n	mal:lemma	ഗന്ധം	
04980008-n	mal:lemma	വാസന	
04981139-n	mal:lemma	ഒച്ച	
05006898-n	mal:lemma	ലിംഗം	
05013204-n	mal:lemma	കേവലപൂജ്യം	
05261566-n	mal:lemma	താടി	
05269901-n	mal:lemma	എല്ല്	
05289297-n	mal:lemma	പേശി	
05302499-n	mal:lemma	വായ	
05311054-n	mal:lemma	കണ്ണ്	
05311054-n	mal:lemma	നേത്രം	
05320899-n	mal:lemma	ചെവി	
05320899-n	mal:lemma	കര്‍ണ്ണം	
05332802-n	mal:lemma	വൃക്ക	
05333467-n	mal:lemma	പ്ലീഹ	
05387544-n	mal:lemma	ശ്വാസകോശം	
05388805-n	mal:lemma	ഹൃദയം	
05399847-n	mal:lemma	രക്തം	
05404336-n	mal:lemma	ശുക്ലം	
05410646-n	mal:lemma	ഇന്‍സുലിന്‍	
05517406-n	mal:lemma	വൃഷണസഞ്ചി	
05519085-n	mal:lemma	ഗര്‍ഭപാത്രം	
05521111-n	mal:lemma	യോനി	
05526384-n	mal:lemma	ലിംഗം	
05538016-n	mal:lemma	ഗുദം	
05546540-n	mal:lemma	കഴുത്ത്	
05547508-n	mal:lemma	തൊണ്ട	
05554405-n	mal:lemma	മുല	
05554405-n	mal:lemma	സ്‌തനം	
05554653-n	mal:lemma	മുല	
05554653-n	mal:lemma	സ്‌തനം	
05559256-n	mal:lemma	ചന്തി	
05559727-n	mal:lemma	പൃഷ്ഠം	
05560787-n	mal:lemma	കാല്‍	
05563266-n	mal:lemma	പാദം	
05566504-n	mal:lemma	വിരൽ	
05598147-n	mal:lemma	മൂക്ക്	
05600637-n	mal:lemma	മുഖം	
05611302-n	mal:lemma	മനസ്	
05624042-n	mal:lemma	കഴിവ്	
05647156-n	mal:lemma	ഭ്രാന്ത്	
05647156-n	mal:lemma	വട്ട്	
05647156-n	mal:lemma	കിറുക്ക്	
05654362-n	mal:lemma	കാഴ്ച്ച	
05654362-n	mal:lemma	ദൃഷ്ഠി	
