wiktionary-cldr-merge	kal	http://wiktionary.org/	CC BY-SA
09012297-n	kal:lemma	Estland	
09126305-n	kal:lemma	Carolina	
09126305-n	kal:lemma	Avannarleq	
09137869-n	kal:lemma	Carolina	
09137869-n	kal:lemma	Kujalleq	
09189411-n	kal:lemma	Afrika	
09198106-n	kal:lemma	Qalasersuaq	
09198106-n	kal:lemma	Kujalleq	
09247410-n	kal:lemma	nuiaq	
09270894-n	kal:lemma	nuna	
09281104-n	kal:lemma	kangerluk	
09303008-n	kal:lemma	bakki	
09328904-n	kal:lemma	taseq	
09359803-n	kal:lemma	qaqqaq	
09376198-n	kal:lemma	imaq	
09416076-n	kal:lemma	ujarak	
09426788-n	kal:lemma	imaq	
09438940-n	kal:lemma	apusineq	
09438940-n	kal:lemma	aputip	
09438940-n	kal:lemma	qingartagaa	
09444100-n	kal:lemma	ulloriaq	
09450454-n	kal:lemma	seqineq	
09493204-n	kal:lemma	Kerberosi	
09493374-n	kal:lemma	Charoni	
09493562-n	kal:lemma	Kimære	
09493983-n	kal:lemma	Kirke	
09494764-n	kal:lemma	Ganymedesi	
09497364-n	kal:lemma	Andromeda	
09497641-n	kal:lemma	Kefeusi	
09497775-n	kal:lemma	Kassiopeja	
09536058-n	kal:lemma	Guuti	
09547629-n	kal:lemma	Adonisi	
09549047-n	kal:lemma	Echo	
09553490-n	kal:lemma	Ajolosi	
09559573-n	kal:lemma	Erebosi	
09560762-n	kal:lemma	Gaja	
09561755-n	kal:lemma	Hekate	
09564480-n	kal:lemma	Hyperioni	
09564889-n	kal:lemma	Ariadne	
09565503-n	kal:lemma	Klotho	
09566320-n	kal:lemma	Kalliope	
09566436-n	kal:lemma	Klio	
09566544-n	kal:lemma	Erato	
09566667-n	kal:lemma	Euterpe	
09566791-n	kal:lemma	Melpomene	
09566904-n	kal:lemma	Polyhymnia	
09567044-n	kal:lemma	Terpisichore	
09567180-n	kal:lemma	Thalia	
09567309-n	kal:lemma	Urania	
09571581-n	kal:lemma	Eurydike	
09575140-n	kal:lemma	Japetusi	
09575701-n	kal:lemma	Epimetheusi	
09578005-n	kal:lemma	Herkulesi	
09578005-n	kal:lemma	Heraklesi	
09578248-n	kal:lemma	Pandora	
09594298-n	kal:lemma	Achilleusi	
09594604-n	kal:lemma	Æneas	
09594906-n	kal:lemma	Agamemnoni	
09596884-n	kal:lemma	Elektra	
09600188-n	kal:lemma	Helene	
09600188-n	kal:lemma	Iiliit	
09644152-n	kal:lemma	mongoli	
09805151-n	kal:lemma	biskorpiuneq	
09823502-n	kal:lemma	aja	
09823502-n	kal:lemma	atsa	
09827683-n	kal:lemma	naalungiarsuk	
09837360-n	kal:lemma	nipilersortuni	
09837360-n	kal:lemma	ussersortuusoq	
09855630-n	kal:lemma	biologi	
09863936-n	kal:lemma	bolschevikki	
09918248-n	kal:lemma	meeraq	
09938272-n	kal:lemma	erfalasulisartoq	
09952539-n	kal:lemma	nipilersortuni	
09952539-n	kal:lemma	ussersortuusoq	
09992837-n	kal:lemma	panik	
10020890-n	kal:lemma	nakorsaq	
10034906-n	kal:lemma	biilertoq	
10080869-n	kal:lemma	ataata	
10084295-n	kal:lemma	niviarsiaq	
10112591-n	kal:lemma	ikinngut	
10142391-n	kal:lemma	aataq	
10142747-n	kal:lemma	aanaq	
10164233-n	kal:lemma	atuarfiit	
10164233-n	kal:lemma	pisortaat	
10164233-n	kal:lemma	atuarfiup	
10164233-n	kal:lemma	pisortaa	
10257948-n	kal:lemma	bibliotekari	
10257948-n	kal:lemma	atuagaatilerisoq	
10264437-n	kal:lemma	oqaasilerisoq	
10285313-n	kal:lemma	nukappiaraq	
10287213-n	kal:lemma	angut	
10303814-n	kal:lemma	borgmesteri	
10332385-n	kal:lemma	anaana	
10339966-n	kal:lemma	nipilersortartoq	
10353355-n	kal:lemma	soraluaq	
10357613-n	kal:lemma	soraluaq	
10399491-n	kal:lemma	angajoqqaa	
10422405-n	kal:lemma	fritidsklubi	
10470779-n	kal:lemma	palasi	
10474645-n	kal:lemma	atuarfiit	
10474645-n	kal:lemma	pisortaat	
10474645-n	kal:lemma	atuarfiup	
10474645-n	kal:lemma	pisortaa	
10609325-n	kal:lemma	inussiaq	
10624074-n	kal:lemma	erneq	
10665587-n	kal:lemma	angutivik	
10736091-n	kal:lemma	akkaq	
10736091-n	kal:lemma	akka	
10736091-n	kal:lemma	anga	
10780632-n	kal:lemma	nuliaq	
10887420-n	kal:lemma	Kaalat	
10887420-n	kal:lemma	Kaarat	
10892786-n	kal:lemma	Kaali	
10892786-n	kal:lemma	Kaarali	
11214153-n	kal:lemma	Uuli	
11255775-n	kal:lemma	Lippikka	
11316567-n	kal:lemma	Steffeni	
11316567-n	kal:lemma	Stefani	
11316567-n	kal:lemma	Stiifaat	
11338796-n	kal:lemma	Tuumarsi	
11410527-n	kal:lemma	aaneq	
11462526-n	kal:lemma	anorersuaq	
11465017-n	kal:lemma	anoraarsuaq	
11467018-n	kal:lemma	anoraarsuaq	
11508382-n	kal:lemma	aput	
11525779-n	kal:lemma	anoraarsuaq	
11525955-n	kal:lemma	anori	
11876634-n	kal:lemma	blomkåli	
12102133-n	kal:lemma	ivik	
12244153-n	kal:lemma	qajaasaq	
12268246-n	kal:lemma	orpik	
12268246-n	kal:lemma	manngertoq	
12281600-n	kal:lemma	orpik	
12284262-n	kal:lemma	palleq	
12870535-n	kal:lemma	tupaarnaq	
13104059-n	kal:lemma	orpik	
13108841-n	kal:lemma	orpik	
13108841-n	kal:lemma	meqqutaasalik	
13112664-n	kal:lemma	orpikkat	
13112664-n	kal:lemma	orpigaq	
13152742-n	kal:lemma	pilu	
13320168-n	kal:lemma	akiliut	
13343526-n	kal:lemma	eqquiniut	
13421462-n	kal:lemma	budgeti	
13421832-n	kal:lemma	budgeti	
13801700-n	kal:lemma	oqaluinnamiut	
13831176-n	kal:lemma	avannarleq	
13878306-n	kal:lemma	tumaasaavoq	
13963192-n	kal:lemma	inuuneq	
14146273-n	kal:lemma	bronkitisi	
14373246-n	kal:lemma	aagiak	
14640434-n	kal:lemma	brinti	
14643467-n	kal:lemma	aqerloq	
14675910-n	kal:lemma	aqerluusaq	
14686913-n	kal:lemma	benziina	
14686913-n	kal:lemma	orsussaq	
14694293-n	kal:lemma	aligoq	
14694453-n	kal:lemma	aligoq	
14773022-n	kal:lemma	agiamineq	
14773022-n	kal:lemma	agiaq	
14773022-n	kal:lemma	basalti	
14796575-n	kal:lemma	torsummiutaq	
14796575-n	kal:lemma	aqerluusassaq	
14820180-n	kal:lemma	beton	
14845743-n	kal:lemma	imeq	
14852450-n	kal:lemma	aniatitsineq	
14915184-n	kal:lemma	sermeq	
14915184-n	kal:lemma	siku	
15021085-n	kal:lemma	blokki	
15155220-n	kal:lemma	ulloq	
15156187-n	kal:lemma	ippassaq	
15163797-n	kal:lemma	Sapaat	
15163979-n	kal:lemma	Ataasinngorneq	
15164105-n	kal:lemma	Marlunngorneq	
15164233-n	kal:lemma	Pinqasunngorneq	
15164354-n	kal:lemma	Sisamanngorneq	
15164463-n	kal:lemma	Tallimanngorneq	
15164570-n	kal:lemma	arfininngorneq	
15166462-n	kal:lemma	unnuk	
15170504-n	kal:lemma	weekendi	
15210045-n	kal:lemma	Januaari	
15210486-n	kal:lemma	Februaari	
15210870-n	kal:lemma	Marsi	
15211189-n	kal:lemma	Apriili	
15211484-n	kal:lemma	Maaji	
15211806-n	kal:lemma	Juuni	
15212167-n	kal:lemma	Juuli	
15212455-n	kal:lemma	Aggusti	
15212739-n	kal:lemma	Septembari	
15213115-n	kal:lemma	Oktobari	
15213406-n	kal:lemma	Novembari	
15213774-n	kal:lemma	Decembari	
15236859-n	kal:lemma	ukiaq	
00207366-r	kal:lemma	ullumi	
00031820-v	kal:lemma	illarpoq	
00031820-v	kal:lemma	illaatigaa	
00103317-v	kal:lemma	aappillerpoq	
00294245-v	kal:lemma	sikkerneq	
00625119-v	kal:lemma	atuarpoq	
01162425-v	kal:lemma	atoqqippaa	
01168468-v	kal:lemma	nerivoq	
01170052-v	kal:lemma	imerpoq	
01243809-v	kal:lemma	salippoq	
01878719-v	kal:lemma	angaluppoq	
01888784-v	kal:lemma	nuna	
01888784-v	kal:lemma	sajuppoq	
01891638-v	kal:lemma	aalaqqajuppoq	
01901289-v	kal:lemma	isumaa	
01901289-v	kal:lemma	oqippoq	
02160177-v	kal:lemma	angaluppoq	
02763609-v	kal:lemma	anorliorpoq	
06988057-n	kal:lemma	arabiamiusut	
06944911-n	kal:lemma	tjekkiamut	
qallunaatutqallunaatutqallunaatutqallunaatut
06950528-n	kal:lemma	tyskisut	
06947032-n	kal:lemma	tuluttut	
06966825-n	kal:lemma	spanskisut	
06957896-n	kal:lemma	estlandimiutut	
06958255-n	kal:lemma	finnisuut	
06964901-n	kal:lemma	franskisuut	
06960778-n	kal:lemma	irlandimiutut	
06954183-n	kal:lemma	islandimiusut	
06964247-n	kal:lemma	italiamiutut	
06929279-n	kal:lemma	japanimiusut	
06962600-n	kal:lemma	latin	
06946199-n	kal:lemma	litauenimiutut	
06946355-n	kal:lemma	letlandimiutut	
06952572-n	kal:lemma	hollandimiutut	
06966310-n	kal:lemma	portugalimiutut	
06968343-n	kal:lemma	rumænimiutut	
06944348-n	kal:lemma	russisut	
06944820-n	kal:lemma	slovakimiusut	
06954925-n	kal:lemma	svenskisuut	
06969916-n	kal:lemma	urdu	
06929742-n	kal:lemma	kineserisut	
09372504-n	kal:lemma	Amerika	
09440400-n	kal:lemma	Amerika	
08835875-n	kal:lemma	Oceania	
08735705-n	kal:lemma	America	
09195615-n	kal:lemma	Amerika	
09044862-n	kal:lemma	Amerika	
08836630-n	kal:lemma	Melanesia	
08841667-n	kal:lemma	Polynesia	
09207288-n	kal:lemma	Asia	
09275473-n	kal:lemma	Europa	
08760393-n	kal:lemma	Europa	
09022831-n	kal:lemma	America	
09023118-n	kal:lemma	Andorra	
08703454-n	kal:lemma	Afghanistan	
08709704-n	kal:lemma	Antigua	
08704822-n	kal:lemma	Albania	
09017526-n	kal:lemma	Armenia	
08707917-n	kal:lemma	Angola	
08711974-n	kal:lemma	Argentina	
09211266-n	kal:lemma	Australia	
08831004-n	kal:lemma	Australia	
08748794-n	kal:lemma	Aruba	
08817630-n	kal:lemma	Bosnia	
08755436-n	kal:lemma	Barbados	
08755214-n	kal:lemma	Barbados	
08896440-n	kal:lemma	Burkina	
08714132-n	kal:lemma	Bulgaria	
08848094-n	kal:lemma	Bahrain	
08848421-n	kal:lemma	Bahrain	
08716219-n	kal:lemma	Burundi	
08710678-n	kal:lemma	Bermuda	
08896092-n	kal:lemma	Brunei	
08852843-n	kal:lemma	Bolivia	
08853741-n	kal:lemma	Brasilien	
08847268-n	kal:lemma	Bahamas	
08852389-n	kal:lemma	Botswana	
09011151-n	kal:lemma	Hvideruslandi	
08737521-n	kal:lemma	Belize	
08820121-n	kal:lemma	Canada	
09031653-n	kal:lemma	Schweizi	
08730550-n	kal:lemma	Kina	
08723006-n	kal:lemma	Kina	
08732116-n	kal:lemma	Colombia	
08736107-n	kal:lemma	Costa	
08750151-n	kal:lemma	Kuba	
08750334-n	kal:lemma	Kuba	
08717915-n	kal:lemma	Cap	
08757264-n	kal:lemma	Tjekkia	
08766988-n	kal:lemma	Tysklandi	
08762823-n	kal:lemma	Djibouti	
08762495-n	kal:lemma	Djibouti	
08763193-n	kal:lemma	Dominica	
08763010-n	kal:lemma	Dominica	
08705397-n	kal:lemma	Algeriet	
08776687-n	kal:lemma	Ecuador	
09012297-n	kal:lemma	Estlandi	
08896831-n	kal:lemma	Egypten	
08897065-n	kal:lemma	Egypten	
08970833-n	kal:lemma	Sahara	
08777544-n	kal:lemma	Eritrea	
09023321-n	kal:lemma	Spania	
08778061-n	kal:lemma	Ethiopia	
08779504-n	kal:lemma	Finlandi	
08779149-n	kal:lemma	Fiji	
08718391-n	kal:lemma	Falklandi	
08718391-n	kal:lemma	Falklandi	
08837048-n	kal:lemma	Micronesia	
08836886-n	kal:lemma	Micronesia	
08952856-n	kal:lemma	Savalimmiut	
08952628-n	kal:lemma	Savalimmiut	
08929922-n	kal:lemma	Frankrigi	
08945529-n	kal:lemma	Gabon	
08946909-n	kal:lemma	Grenada	
09076421-n	kal:lemma	Georgia	
09018848-n	kal:lemma	Georgia	
09075842-n	kal:lemma	Georgia	
08946187-n	kal:lemma	Ghana	
08945821-n	kal:lemma	Gambia	
08947319-n	kal:lemma	Guinea	
08751126-n	kal:lemma	Guadeloupe	
08782319-n	kal:lemma	Grækenlandi	
08780881-n	kal:lemma	Grækenlandi	
08737041-n	kal:lemma	Guatemala	
08838319-n	kal:lemma	Guam	
08947772-n	kal:lemma	Guinea-Bissau	
08948346-n	kal:lemma	Guyana	
08731148-n	kal:lemma	Hongkong	
08731148-n	kal:lemma	Hongkong	
08737716-n	kal:lemma	Honduras	
08751494-n	kal:lemma	Haiti	
08751317-n	kal:lemma	Haiti	
08952190-n	kal:lemma	Ungarni	
09024972-n	kal:lemma	Kanaria	
08907606-n	kal:lemma	Indonesia	
08888676-n	kal:lemma	Irlandi	
08859173-n	kal:lemma	Irlandi	
08792548-n	kal:lemma	Israel	
08792295-n	kal:lemma	Israel	
08900535-n	kal:lemma	India	
08913434-n	kal:lemma	Irak	
08910668-n	kal:lemma	Iran	
09112282-n	kal:lemma	Jersey	
08753933-n	kal:lemma	Jamaica	
08753729-n	kal:lemma	Jamaica	
08920381-n	kal:lemma	Japani	
08921850-n	kal:lemma	Japani	
08928193-n	kal:lemma	Kenya	
08716738-n	kal:lemma	Kambodia	
08840749-n	kal:lemma	Kiribati	
08987423-n	kal:lemma	Saint	
08929555-n	kal:lemma	Kuwait	
08929243-n	kal:lemma	Kuwait	
09019726-n	kal:lemma	Kasakhstani	
08956760-n	kal:lemma	Laos	
08957381-n	kal:lemma	Libanon	
08988453-n	kal:lemma	Saint	
08988609-n	kal:lemma	Saint	
08960548-n	kal:lemma	Liechtenstein	
08719100-n	kal:lemma	Sri	
08959254-n	kal:lemma	Liberia	
08958830-n	kal:lemma	Lesotho	
09013830-n	kal:lemma	Litaueni	
08960987-n	kal:lemma	Luxembourg	
08961402-n	kal:lemma	Luxembourg	
09013074-n	kal:lemma	Letlandi	
08959683-n	kal:lemma	Libya	
08969291-n	kal:lemma	Marocko	
08967868-n	kal:lemma	Monaco	
09014586-n	kal:lemma	Moldavia	
08817235-n	kal:lemma	Montenegro	
08749650-n	kal:lemma	Saint	
08962187-n	kal:lemma	Madagaskar	
08961970-n	kal:lemma	Madagaskar	
08915372-n	kal:lemma	Makedonia	
08961630-n	kal:lemma	Makedonia	
08915372-n	kal:lemma	Makedonia	
08961630-n	kal:lemma	Makedonia	
08965598-n	kal:lemma	Mali	
08715390-n	kal:lemma	Burma	
08731423-n	kal:lemma	Macao	
08731423-n	kal:lemma	Macao	
08943242-n	kal:lemma	Martinique	
08966820-n	kal:lemma	Mauritania	
08711300-n	kal:lemma	Montserrat	
08966408-n	kal:lemma	Malta	
08966239-n	kal:lemma	Malta	
08967329-n	kal:lemma	Mauritius	
08967484-n	kal:lemma	Mauritius	
08962610-n	kal:lemma	Malawi	
08740875-n	kal:lemma	Mexiko	
08963369-n	kal:lemma	Malaysia	
08971025-n	kal:lemma	Moçambique	
08699654-n	kal:lemma	Namibia	
08844108-n	kal:lemma	Nutaaq	
08973330-n	kal:lemma	Niger	
08973776-n	kal:lemma	Nigeria	
08738820-n	kal:lemma	Nicaragua	
08949093-n	kal:lemma	Hollandi	
08764107-n	kal:lemma	Norge	
08906374-n	kal:lemma	Nepal	
08841483-n	kal:lemma	Nauru	
08841209-n	kal:lemma	Nauru	
08971914-n	kal:lemma	Nutaaq	
08972521-n	kal:lemma	Nutaaq	
08975106-n	kal:lemma	Oman	
08739206-n	kal:lemma	Panama	
08979054-n	kal:lemma	Peru	
08844557-n	kal:lemma	Papua	
08982587-n	kal:lemma	Poleni	
08752814-n	kal:lemma	Puerto	
08752974-n	kal:lemma	Puerto	
08984788-n	kal:lemma	Portugali	
08977948-n	kal:lemma	Palau	
08978161-n	kal:lemma	Palau	
08978343-n	kal:lemma	Paraguay	
08986905-n	kal:lemma	Quatar	
08986691-n	kal:lemma	Quatar	
08813978-n	kal:lemma	Rumænia	
08816969-n	kal:lemma	Serbia	
09003284-n	kal:lemma	Ruslandi	
09006413-n	kal:lemma	Ruslandi	
09002814-n	kal:lemma	Ruslandi	
09007723-n	kal:lemma	Ruslandi	
08815046-n	kal:lemma	Rwanda	
08993288-n	kal:lemma	Saudi	
09029242-n	kal:lemma	Sudan	
09029457-n	kal:lemma	Sudan	
08997487-n	kal:lemma	Singapore	
08997310-n	kal:lemma	Singapore	
08997801-n	kal:lemma	Singapore	
08818444-n	kal:lemma	Slovenia	
08759013-n	kal:lemma	Slovakia	
08996871-n	kal:lemma	Sierra	
08992181-n	kal:lemma	San	
08992508-n	kal:lemma	San	
08995862-n	kal:lemma	Senegal	
