wiktionary-cldr-merge	tam	http://wiktionary.org/	CC BY-SA
04284002-n	tam:lemma	கரண்டி	
04290615-n	tam:lemma	ஸ்புட்னிக்	
04306847-n	tam:lemma	சிலை	
04306847-n	tam:lemma	உருவம்	
04334599-n	tam:lemma	வீதி	
04334599-n	tam:lemma	தெரு	
04373894-n	tam:lemma	வாள்	
04376876-n	tam:lemma	மருந்தூசி	
04379243-n	tam:lemma	மேசை	
04379243-n	tam:lemma	மேஜை	
04389033-n	tam:lemma	கவச	
04389033-n	tam:lemma	தாங்கி	
04401088-n	tam:lemma	தொலைபேசி	
04407435-n	tam:lemma	கோயில்	
04423845-n	tam:lemma	விரல்	
04423845-n	tam:lemma	கவசம்	
04428382-n	tam:lemma	களம்	
04442831-n	tam:lemma	புகையிலை	
04446276-n	tam:lemma	உடுத்துதல்	
04446276-n	tam:lemma	கழிவறை	
04452848-n	tam:lemma	பல்	
04459362-n	tam:lemma	துவாலை	
04468005-n	tam:lemma	ரயில்	
04524313-n	tam:lemma	வண்டி	
04536866-n	tam:lemma	வயலின்	
04572344-n	tam:lemma	நன்றாக	
04574999-n	tam:lemma	சில்லு	
04580777-n	tam:lemma	வெள்ளை	
04580777-n	tam:lemma	மாளிகை	
04587648-n	tam:lemma	சன்னல்	
04587648-n	tam:lemma	சாளரம்	
04956594-n	tam:lemma	நிறம்	
04960277-n	tam:lemma	கருப்பு	
04962784-n	tam:lemma	சிவப்பு	
04965179-n	tam:lemma	செம்மஞ்சள்	
04968895-n	tam:lemma	நீலம்	
04970059-n	tam:lemma	ஊதா	
04981139-n	tam:lemma	ஒலி	
05000342-n	tam:lemma	உடற்பருமன	
05011790-n	tam:lemma	வெப்பநிலை	
05012585-n	tam:lemma	சிதறம்	
05121418-n	tam:lemma	எண்	
05133107-n	tam:lemma	நீளம்	
05254795-n	tam:lemma	முடி	
05261566-n	tam:lemma	தாடி	
05262185-n	tam:lemma	மீசை	
05269901-n	tam:lemma	எலும்பு	
05289297-n	tam:lemma	தசை	
05297523-n	tam:lemma	உறுப்பு	
05301072-n	tam:lemma	நாக்கு	
05301072-n	tam:lemma	நாவு	
05302499-n	tam:lemma	வாய்	
