wiktionary-cldr-merge	bod	http://wiktionary.org/	CC BY-SA
06969916-n	bod:lemma	ཝུའུ་ཏུའུ་སྐད།	
06937229-n	bod:lemma	ཡོ་ནན་སྐད།	
06929742-n	bod:lemma	རྒྱ་སྐད་	
06994792-n	bod:lemma	ཟུ་ལུ་སྐད།	
06499796-n	bod:lemma	གོ་སའི་ལ་ཧྥུ་སྐད་ཡིག་།	
06352782-n	bod:lemma	དེ་བ་ནཱ་ག་རཱི་སྐད་ཡིག	
09189411-n	bod:lemma	ཨཕྲི་ཀ།	
09195615-n	bod:lemma	ཨ་མེ་རི་ཀ།	
09044862-n	bod:lemma	ཨ་མེ་རི་ཀ།	
09207288-n	bod:lemma	ཨེ་ཤི་ཡ།	
09275473-n	bod:lemma	ཡུ་རོབ།	
09023118-n	bod:lemma	ཨེན་ཌོ་ར།	
09044190-n	bod:lemma	ཨ་རབ།	
08703454-n	bod:lemma	ཨཕ་ག་ནི་སྟཱན།	
08709704-n	bod:lemma	ཨེན་ཊི་གུ་དང་།	
08708742-n	bod:lemma	ཨང་གུའི་ལ།	
08704822-n	bod:lemma	ཨལ་བཱ་ནི་ཡ།	
09017526-n	bod:lemma	ཨར་མེ་ནི་ཡ།	
08707917-n	bod:lemma	ཨང་གཽ་ལ།	
09198106-n	bod:lemma	ལྷོ་རྩེའི་མཐའ་གླིང་།	
08711974-n	bod:lemma	ཨར་ཇེན་ཊི་ན།	
08845555-n	bod:lemma	ཨསྟྲི་ཡ།	
09211266-n	bod:lemma	ཨསྟྲེ་ལི་ཡ།	
08831004-n	bod:lemma	ཨསྟྲེ་ལི་ཡ།	
08748794-n	bod:lemma	ཨ་རུ་བ།	
09018162-n	bod:lemma	ཨཛར་བཡེ་ཇན།	
08817630-n	bod:lemma	བོསྣི་ཡ་དང་ཧརྫོ་གོ་ཝི་ན།	
08755436-n	bod:lemma	བཱརྦ་ཌོས྄།	
08755214-n	bod:lemma	བཱརྦ་ཌོས྄།	
08848731-n	bod:lemma	བངྒ་ལ་དེཤ།	
08849753-n	bod:lemma	བེལ་ཇི་ཡམ།	
08896440-n	bod:lemma	བརཀི་ན།	
08714132-n	bod:lemma	བུལ་ག་རི་ཡ།	
08848094-n	bod:lemma	བྷཱ་རེན།	
08848421-n	bod:lemma	བྷཱ་རེན།	
08716219-n	bod:lemma	བུ་རུན་ཌི།	
08759420-n	bod:lemma	བཱེ་ནིན།	
08710678-n	bod:lemma	བར་མུ་ཌ།	
08896092-n	bod:lemma	བུ་རུ་ནེ།	
08852843-n	bod:lemma	བོ་ལི་ཝིཡ།	
08853741-n	bod:lemma	བ་རཱ་ཛིལ།	
08847268-n	bod:lemma	བྷཱ་མས྄།	
08852209-n	bod:lemma	འབྲུག་ཡུལ།	
